path,face,label
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_143_0011.jpg,"[168, 177, 281, 383]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_329_1110.jpg,"[98, 125, 323, 416]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_257_1111.jpg,"[101, 121, 361, 439]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_40_1111.jpg,"[137, 155, 319, 401]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_91_1100.jpg,"[39, 19, 479, 587]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_90_1100.jpg,"[163, 160, 279, 361]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_9_1110.jpg,"[135, 185, 302, 391]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_272_1010.jpg,"[122, 120, 350, 448]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_139_1111.jpg,"[147, 161, 294, 394]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_167_0110.jpg,"[127, 176, 337, 412]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_76_1111.jpg,"[95, 124, 352, 450]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_212_0010.jpg,"[141, 147, 336, 430]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_169_0111.jpg,"[124, 155, 325, 390]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_198_0011.jpg,"[116, 190, 298, 375]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_290_1100.jpg,"[139, 168, 311, 387]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_316_1111.jpg,"[130, 161, 314, 399]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_170_1111.jpg,"[126, 132, 344, 442]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_291_1100.jpg,"[95, 61, 390, 466]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_23_1100.jpg,"[104, 113, 347, 454]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_424_1111.jpg,"[137, 145, 322, 394]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_185_1100.jpg,"[121, 176, 337, 411]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_425_1111.jpg,"[113, 161, 350, 418]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_414_0011.jpg,"[149, 163, 305, 363]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_161_1100.jpg,"[119, 226, 300, 381]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_195_1111.jpg,"[107, 106, 354, 439]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_275_1100.jpg,"[122, 163, 314, 381]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_274_1100.jpg,"[132, 161, 317, 419]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_194_1111.jpg,"[91, 85, 378, 460]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_20_1111.jpg,"[110, 128, 339, 403]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_14_1101.jpg,"[152, 154, 316, 417]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_453_1111.jpg,"[151, 162, 277, 421]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_452_1111.jpg,"[107, 160, 357, 440]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_80_0001.jpg,"[103, 104, 353, 470]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_116_1101.jpg,"[150, 160, 280, 344]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_135_0011.jpg,"[101, 98, 349, 449]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_8_1111.jpg,"[55, 31, 455, 536]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_37_1111.jpg,"[93, 118, 291, 400]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_210_0011.jpg,"[110, 61, 388, 479]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_152_1100.jpg,"[133, 139, 303, 371]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_335_1100.jpg,"[150, 157, 304, 405]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_209_1011.jpg,"[103, 180, 320, 403]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_197_1111.jpg,"[108, 42, 381, 512]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_142_1110.jpg,"[171, 170, 306, 387]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_31_0011.jpg,"[88, 138, 393, 466]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_87_0110.jpg,"[117, 157, 295, 401]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/hard_36_1101.jpg,"[165, 217, 279, 344]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_91_1111.jpg,"[123, 95, 342, 471]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_45_0010.jpg,"[136, 211, 289, 350]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_28_1100.jpg,"[113, 187, 320, 388]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_90_1111.jpg,"[102, 103, 335, 441]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_166_1100.jpg,"[127, 160, 282, 344]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/mid_167_1100.jpg,"[293, 152, 265, 368]",FAKE
./datasets/real_and_fake_face_detection/img_data/deepfake/easy_138_0101.jpg,"[145, 178, 311, 411]",FAKE
