path,face,label
./datasets/face_forensics/img_data/deepfake/Y13MB6ICLQUUXTA1DOZR.jpg,"[259, 89, 101, 136]",FAKE
./datasets/face_forensics/img_data/deepfake/X5S4X3A4D59F7YNAYTI2.jpg,"[968, 100, 142, 177]",FAKE
./datasets/face_forensics/img_data/deepfake/J0OACTKJL7YY95KMFJKB.jpg,"[306, 77, 160, 213]",FAKE
./datasets/face_forensics/img_data/deepfake/7GX8UUJ1AIDY8XM9G3L8.jpg,"[237, 100, 86, 114]",FAKE
./datasets/face_forensics/img_data/deepfake/UH1WJ9YUK2W4Q46AH728.jpg,"[509, 107, 287, 374]",FAKE
./datasets/face_forensics/img_data/deepfake/P2LSYLKR8XU06KSZCWN9.jpg,"[231, 102, 94, 121]",FAKE
./datasets/face_forensics/img_data/deepfake/2FKJ3JXFYUKB02AXTY78.jpg,"[253, 100, 104, 138]",FAKE
./datasets/face_forensics/img_data/deepfake/PPVZFX8ZZL0M2M5WF68R.jpg,"[311, 148, 172, 228]",FAKE
./datasets/face_forensics/img_data/deepfake/J8CTBUBJLO3PWK3R7NDP.jpg,"[272, 76, 76, 101]",FAKE
./datasets/face_forensics/img_data/deepfake/6IBD95WS0CJYB6O3NYEE.jpg,"[810, 165, 111, 140]",FAKE
./datasets/face_forensics/img_data/deepfake/LEJIDBPXCV0FVD5ZU01A.jpg,"[806, 111, 89, 117]",FAKE
./datasets/face_forensics/img_data/deepfake/F9N3ARWBIR8QGWCQDA83.jpg,"[271, 64, 119, 157]",FAKE
./datasets/face_forensics/img_data/deepfake/U1CS3T0L9DT14332ZV7Q.jpg,"[264, 79, 99, 127]",FAKE
./datasets/face_forensics/img_data/deepfake/1YIP3EU9WUEWTRFQFBRR.jpg,"[226, 104, 189, 243]",FAKE
./datasets/face_forensics/img_data/deepfake/08KJG96OQ8DCQE7NFR0Z.jpg,"[389, 186, 249, 331]",FAKE
./datasets/face_forensics/img_data/deepfake/MEYPLVVPVUBHZ72JZI9I.jpg,"[575, 139, 165, 207]",FAKE
./datasets/face_forensics/img_data/deepfake/KDUBRNGDU29AFKVA47UF.jpg,"[349, 116, 363, 451]",FAKE
./datasets/face_forensics/img_data/deepfake/M8JXV2VHEJEZ48GNUIJG.jpg,"[1003, 133, 151, 201]",FAKE
./datasets/face_forensics/img_data/deepfake/K6KKPNQ2FBYR0BE1C9U6.jpg,"[324, 76, 150, 191]",FAKE
./datasets/face_forensics/img_data/deepfake/0KRUPWEXQS14L10MRUAE.jpg,"[263, 75, 117, 152]",FAKE
./datasets/face_forensics/img_data/deepfake/DBLOO0EKJKLGJCJ1FEDM.jpg,"[496, 160, 251, 335]",FAKE
./datasets/face_forensics/img_data/deepfake/ZW2KDSMMHQBSL5T58LRE.jpg,"[503, 122, 175, 216]",FAKE
./datasets/face_forensics/img_data/deepfake/WQQZ5XGT2URCO39YFH6T.jpg,"[225, 88, 181, 224]",FAKE
./datasets/face_forensics/img_data/deepfake/9F8XV4HCD0ZWVPZIYZMV.jpg,"[289, 132, 142, 180]",FAKE
./datasets/face_forensics/img_data/deepfake/KROBUJX52Y1OESJ0DRNY.jpg,"[238, 66, 131, 167]",FAKE
./datasets/face_forensics/img_data/deepfake/8Q8FZRQTJUO5UFRCK77U.jpg,"[590, 43, 251, 342]",FAKE
./datasets/face_forensics/img_data/deepfake/HU14WDEKJYKIOA74R4QP.jpg,"[737, 253, 397, 492]",FAKE
./datasets/face_forensics/img_data/deepfake/0DXTFK31FQIND7ZL5KES.jpg,"[550, 138, 169, 224]",FAKE
./datasets/face_forensics/img_data/deepfake/ZRK81V8HXFSZ2U7MV2ET.jpg,"[759, 136, 226, 299]",FAKE
./datasets/face_forensics/img_data/deepfake/MWLN8YU1X9XC7TJNWXZ6.jpg,"[802, 111, 135, 179]",FAKE
./datasets/face_forensics/img_data/deepfake/NWDYFWN762ZKG745L17Q.jpg,"[1236, 201, 145, 195]",FAKE
./datasets/face_forensics/img_data/deepfake/X2UUFMV9DWQVF0DX9I4A.jpg,"[322, 63, 107, 139]",FAKE
./datasets/face_forensics/img_data/deepfake/HYQSUJ8H2XF0FXMONQ1F.jpg,"[217, 106, 120, 154]",FAKE
./datasets/face_forensics/img_data/deepfake/DNURYQMJ8UZT7DNMO1XY.jpg,"[633, 130, 151, 202]",FAKE
./datasets/face_forensics/img_data/deepfake/EY3WIZO2VZ8C3IT1P92W.jpg,"[274, 66, 95, 126]",FAKE
./datasets/face_forensics/img_data/deepfake/APDITAJEQG4JNX5RU1CR.jpg,"[233, 91, 69, 88]",FAKE
